N,v,beta,T,i0,eps,J_v,J_beta,time_v,time_beta
50,0.8,1,10,1,0.001,"-1.4564033110284758","0.2880964542643083",0.465954,0.458449
50,0.8,1,15,1,0.001,"-1.456403335536538","0.2880964580783685",0.463318,0.529070
50,0.8,1,20,1,0.001,"-1.456403335536649","0.2880964580783685",0.498936,0.472189
50,0.8,2,5,1,0.001,"-4.243760959355081","0.40468666601556347",0.439241,0.433462
50,0.8,2,10,1,0.001,"-4.264555569416628","0.40620506442723414",0.445873,0.442809
50,0.8,2,15,1,0.001,"-4.264559595768547","0.4062052987053866",0.460081,0.455793
50,0.8,2,20,1,0.001,"-4.264559595861361","0.40620529870982747",0.461804,0.468732
50,0.8,4,5,1,0.001,"-14.105492975847067","0.5875839161773033",0.429265,0.432899
50,0.8,4,10,1,0.001,"-14.31974919545742","0.5925095903251965",0.445245,0.448433
50,0.8,4,15,1,0.001,"-14.319827210432123","0.5925106593207552",0.458380,0.456481
50,0.8,4,20,1,0.001,"-14.319827212737835","0.5925106593389629",0.464337,0.468008
50,0.8,8,5,1,0.001,"-34.48289453679365","0.512286978217702",0.405541,0.439918
50,0.8,8,10,1,0.001,"-34.87704829623617","0.5123260492418957",0.451648,0.453982
50,0.8,8,15,1,0.001,"-34.87715258379564","0.5123256567514112",0.463771,0.464287
50,0.8,8,20,1,0.001,"-34.87715258537482","0.5123256567416412",0.469588,0.469056
50,0.8,16,5,1,0.001,"-47.194006724180056","0.19829071992560898",0.435041,0.434677
50,0.8,16,10,1,0.001,"-47.306500816887365","0.19712613030087311",0.449724,0.453859
50,0.8,16,15,1,0.001,"-47.30651217861759","0.19712603031196707",0.467379,0.464492
50,0.8,16,20,1,0.001,"-47.30651217865977","0.19712603031152298",0.469477,0.469609
50,0.99,1,5,1,0.001,"-0.9907954695975718","0.009719540656649706",0.433465,0.436578
50,0.99,1,10,1,0.001,"-0.9907954697848664","0.009719540658092995",0.478796,0.450670
50,0.99,1,15,1,0.001,"-0.9907954697848664","0.009719540658092995",0.463075,0.475469
50,0.99,1,20,1,0.001,"-0.9907954697848664","0.009719540658092995",0.465231,0.467228
50,0.99,2,5,1,0.001,"-1.9962894072007575","0.009591596860425433",0.433817,0.441535
50,0.99,2,10,1,0.001,"-1.9962894130437503","0.009591596882074782",0.457399,0.450132
50,0.99,2,15,1,0.001,"-1.9962894130438613","0.009591596882074782",0.459677,0.457529
50,0.99,2,20,1,0.001,"-1.9962894130438613","0.009591596882074782",0.465569,0.465526
50,0.99,4,5,1,0.001,"-4.014364174042884","0.009229400496635343",0.434265,0.437319
50,0.99,4,10,1,0.001,"-4.014364273920434","0.009229400637744689",0.446542,0.469132
50,0.99,4,15,1,0.001,"-4.014364273920434","0.009229400637744689",0.536033,0.460986
50,0.99,4,20,1,0.001,"-4.014364273920434","0.009229400637744689",0.469444,0.466605
50,0.99,8,5,1,0.001,"-7.897397007352147","0.008290833886426263",0.434085,0.436121
50,0.99,8,10,1,0.001,"-7.897397686835617","0.00829083415920806",0.446902,0.450586
50,0.99,8,15,1,0.001,"-7.8973976868352835","0.00829083415920806",0.463771,0.458720
50,0.99,8,20,1,0.001,"-7.8973976868352835","0.00829083415920806",0.471320,0.468709
50,0.99,16,5,1,0.001,"-14.483482927346246","0.006420109598059831",0.437386,0.438166
50,0.99,16,10,1,0.001,"-14.48348435542024","0.006420109626703585",0.450686,0.452231
50,0.99,16,15,1,0.001,"-14.48348435542024","0.0064201096264815405",0.460921,0.471420
50,0.99,16,20,1,0.001,"-14.48348435542024","0.0064201096264815405",0.541822,0.472521
100,0.01,1,5,1,0.001,"-10.945724481715047","10.40394044778914",2.044613,2.048533
100,0.01,1,10,1,0.001,"-17.946998595213426","16.400912355186037",2.210028,2.530951
100,0.01,1,15,1,0.001,"-18.807910370177705","17.060650913498066",2.726449,2.623674
100,0.01,1,20,1,0.001,"-18.85214059681184","17.091779080395497",2.763045,2.807663
100,0.01,2,5,1,0.001,"-79.59540456729464","32.49083179258072",2.225914,2.220641
100,0.01,2,10,1,0.001,"-114.95642820777618","38.00221977314422",2.436091,2.379696
100,0.01,2,15,1,0.001,"-115.57731575881647","37.13186596648299",2.604611,2.851603
100,0.01,2,20,1,0.001,"-115.60798205873724","37.06589836501095",2.994486,3.155978
100,0.01,4,5,1,0.001,"-105.8412499801733","9.24802203858377",2.298391,2.188294
100,0.01,4,10,1,0.001,"-99.45005394673956","6.349991838995095",2.342679,2.319543
100,0.01,4,15,1,0.001,"-99.39822566236955","6.336069046255943",2.635097,2.524198
100,0.01,4,20,1,0.001,"-99.39781606720288","6.335978948470711",2.750966,2.719170
100,0.01,8,5,1,0.001,"-99.35647831439098","1.6358133305161005",2.163823,2.210146
100,0.01,8,10,1,0.001,"-99.0171079260449","1.5645414195404328",2.335833,2.542654
100,0.01,8,15,1,0.001,"-99.01705585082965","1.564534102755033",2.918439,2.653009
100,0.01,8,20,1,0.001,"-99.01705584388765","1.564534101923698",2.775511,2.791083
100,0.01,16,5,1,0.001,"-99.01490060946827","0.39207636780957955",2.350735,2.349276
100,0.01,16,10,1,0.001,"-99.00184312190419","0.3907355597903006",2.459785,2.371529
100,0.01,16,15,1,0.001,"-99.00184306624737","0.39073555584678843",2.704606,2.456329
100,0.01,16,20,1,0.001,"-99.00184306624737","0.39073555584678843",2.738231,2.831070
100,0.3,1,5,1,0.001,"-5.36590726872066","3.659160296382691",2.212200,2.170404
100,0.3,1,10,1,0.001,"-6.436461627047363","4.33396959085508",2.418528,2.392583
100,0.3,1,15,1,0.001,"-6.477409646221899","4.357698731185966",2.779189,2.791766
100,0.3,1,20,1,0.001,"-6.478006475559184","4.358020977774935",3.237669,3.049841
100,0.3,2,5,1,0.001,"-39.00358744984267","12.137583016829545",2.277504,2.198638
100,0.3,2,10,1,0.001,"-62.576750597826525","17.643325632692886",2.671291,2.540125
100,0.3,2,15,1,0.001,"-64.51914239097611","17.96619719931769",2.730125,2.493768
100,0.3,2,20,1,0.001,"-64.59638552926971","17.976613061128077",2.828810,2.819971
100,0.3,4,5,1,0.001,"-111.56294925551435","11.013670663803765",2.294315,2.279731
100,0.3,4,10,1,0.001,"-109.25298146403506","8.11514642063571",2.391835,2.482507
100,0.3,4,15,1,0.001,"-108.84681731188195","8.001595693350794",2.665372,2.674087
100,0.3,4,20,1,0.001,"-108.83846503361738","7.99892390634227",3.054044,3.247609
100,0.3,8,5,1,0.001,"-100.28169449696378","1.7473317354053108",2.314203,2.418950
100,0.3,8,10,1,0.001,"-99.09848994322346","1.5704019961830795",2.542033,2.511729
100,0.3,8,15,1,0.001,"-99.09652749374587","1.5702251718074933",2.819692,2.732535
100,0.3,8,20,1,0.001,"-99.09652148104442","1.5702247379323353",3.070756,2.952333
100,0.3,16,5,1,0.001,"-99.05839433059072","0.3945977508976739",2.146186,2.202313
100,0.3,16,10,1,0.001,"-99.00831553050793","0.3909714961380928",2.432330,2.339960
100,0.3,16,15,1,0.001,"-99.00831371994201","0.39097141044663886",2.519058,2.601701
100,0.3,16,20,1,0.001,"-99.00831371985319","0.39097141043953343",2.808505,2.855057
100,0.5,1,5,1,0.001,"-3.1794963859438363","1.563298535473323",2.257452,2.221087
100,0.5,1,10,1,0.001,"-3.3487889687310313","1.6410409916512991",2.536515,2.393938
100,0.5,1,15,1,0.001,"-3.3504165473812186","1.6417360921162638",2.967649,2.569019
100,0.5,1,20,1,0.001,"-3.350422342539905","1.6417384132882962",3.112987,2.906426
100,0.5,2,5,1,0.001,"-18.902103045986163","4.3730881100718655",2.302044,2.225580
100,0.5,2,10,1,0.001,"-25.203178373290225","5.581623449735673",2.466747,2.413100
100,0.5,2,15,1,0.001,"-25.480045135369167","5.625623237114574",2.594622,2.573170
100,0.5,2,20,1,0.001,"-25.48411599279632","5.626183642100102",2.704557,2.690115
100,0.5,4,5,1,0.001,"-88.72123138410792","7.998574091077515",2.229664,2.211579
100,0.5,4,10,1,0.001,"-104.9502871798591","8.167330779478732",2.559055,2.463629
100,0.5,4,15,1,0.001,"-105.39607821242925","8.14184493974679",2.685027,2.799048
100,0.5,4,20,1,0.001,"-105.40610271674744","8.141397936480388",3.057737,2.762592
100,0.5,8,5,1,0.001,"-103.53698783655219","2.009489536938247",2.373252,2.203203
100,0.5,8,10,1,0.001,"-100.75831953355063","1.6576020348217924",2.467461,2.311203
100,0.5,8,15,1,0.001,"-100.72411611364274","1.6548522696169243",2.667479,2.516982
