beta_conf,v_conf,N,i0,T,v,beta,beta_grad,beta_grad_se,v_grad,v_grad_se,total_size_mean,total_size_se,N_samples
10,10,1000,1,10,0.01,2.0,332.0944890492089,19.73115111175226,-866.8323,69.47988179102667,310.9844,4.0439459943951475,10000
10,10,1000,1,10,0.05,2.0,306.12893585702676,18.500644234559175,-1025.1738,155.60757502390373,276.003,3.796344012584501,10000
10,10,1000,1,10,0.1,2.0,270.98042261596095,16.633373749485987,-867.132,116.49726813786647,235.639,3.494838865780478,10000
10,10,1000,1,10,0.15,2.0,231.79268616129602,14.594684027038415,-728.6706,75.32172508152274,197.0288,3.1714205410006393,10000
10,10,1000,1,10,0.2,2.0,202.60914516072125,12.910696452213863,-637.9614,42.24999858803634,166.1201,2.886614882894359,10000
10,10,1000,1,10,0.25,2.0,174.3412303413439,11.462998564141794,-560.3391,30.18832601079186,134.8323,2.5629791071839403,10000
10,10,1000,1,10,0.3,2.0,145.46900052669466,9.828462325800169,-483.8157,44.686415033455134,107.7289,2.2560220885544107,10000
10,10,1000,1,10,0.35,2.0,105.57568375263035,8.059053383057478,-393.5061,46.929772398659885,82.7053,1.9135937733238813,10000
10,10,1000,1,10,0.4,2.0,82.28568953081395,6.693517891114218,-327.2724,38.3638801696334,63.9338,1.644868754970471,10000
10,10,1000,1,10,0.45,2.0,57.29852105506023,5.6500914986483215,-291.1086,28.375280600119492,49.7735,1.4147363951216383,10000
10,10,1000,1,10,0.5,2.0,50.568252694147695,4.5166403521642,-205.3944,18.51918675084452,35.1683,1.1337657606362077,10000
10,10,1000,1,10,0.55,2.0,34.649333040418504,3.699593621436406,-219.8799,44.949316971420366,24.9958,0.9177427653838202,10000
10,10,1000,1,10,0.6,2.0,22.246015485389982,2.551220619425461,-92.1078,8.849908854140175,17.4309,0.7093327412524967,10000
10,10,1000,1,10,0.65,2.0,14.186766493647319,1.9076061442771535,-105.1947,23.858709997471898,11.9909,0.5463538706499638,10000
10,10,1000,1,10,0.7,2.0,8.250344831989125,1.1470287002021649,-53.4465,7.178142632111714,7.4517,0.38599565538435476,10000
10,10,1000,1,10,0.75,2.0,5.78758679348716,1.0779237856371013,-27.0729,3.970712572623766,4.8554,0.27511677158581366,10000
10,10,1000,1,10,0.8,2.0,4.01476852446843,0.7347354228191566,-17.0829,3.0039289075554314,3.3193,0.20420045184439076,10000
