cbeta_star_mean,cbeta_star_sd,cbeta_norm_mean,cbeta_norm_sd,v,N,i0,T,N_samples,v_conf
1.1491735336809172,0.2379665547808078,0.0002960750034721572,3.144636240181361e-05,0.05,1000,1,10,10000,10
1.127815151261747,0.18391850405306479,0.00033201646450150825,2.752706991445665e-05,0.06836734693877551,1000,1,10,10000,10
1.6990959615970433,0.40084791782341106,0.00040247960789080873,3.28070943572765e-05,0.08673469387755102,1000,1,10,10000,10
2.4875503117165585,0.4099318920357078,0.0004738799096078621,3.97468803772433e-05,0.10510204081632653,1000,1,10,10000,10
3.6073168321485376,0.7867764309501452,0.0005659903752747537,5.452185464948965e-05,0.12346938775510204,1000,1,10,10000,10
4.101368245490417,0.6759404493663891,0.000610679142325258,4.55590206499082e-05,0.14183673469387753,1000,1,10,10000,10
5.037397751091654,0.6100557232452524,0.0006722792668394746,4.717877015228985e-05,0.16020408163265304,1000,1,10,10000,10
6.4941772521670424,0.8688466971564567,0.0007520079927335274,5.221800038884279e-05,0.17857142857142855,1000,1,10,10000,10
7.374906737999564,1.1211595978023055,0.0007598864081099131,5.6818859259216246e-05,0.19693877551020406,1000,1,10,10000,10
8.431574051214557,1.3168410104616137,0.0007755382911598566,5.0771431338296114e-05,0.21530612244897956,1000,1,10,10000,10
12.063877505037539,1.6113874947594462,0.0008912083593079841,5.529397695394996e-05,0.23367346938775507,1000,1,10,10000,10
14.077560236098355,2.1810779005156418,0.0009499631240247511,7.135927127242526e-05,0.2520408163265306,1000,1,10,10000,10
13.316326819468234,1.4272642325734313,0.0009369315971881184,7.197137967632222e-05,0.2704081632653061,1000,1,10,10000,10
15.986471122590418,1.6770980174363246,0.0009848328744854863,7.431953849773243e-05,0.2887755102040816,1000,1,10,10000,10
18.08289319633739,2.4013789020384495,0.0009414990067427221,5.8577994064322e-05,0.3071428571428571,1000,1,10,10000,10
25.76322775896474,3.3922617870948737,0.001106519068939943,7.649297350952813e-05,0.3255102040816326,1000,1,10,10000,10
32.64581749674054,4.239292102815248,0.0011550437617755425,7.383646150217125e-05,0.3438775510204081,1000,1,10,10000,10
30.05134138401203,3.026429690299429,0.0011154295952159892,7.066840157358184e-05,0.36224489795918363,1000,1,10,10000,10
32.796062120960336,3.466586143571663,0.0010867531048798396,7.040431168395023e-05,0.38061224489795914,1000,1,10,10000,10
