c_v,v_star,v_star_sd,beta,N,T,t
1.0,1.265845253737615,0.0012893748454583843,5,1000,10,1
1.263157894736842,1.287959280020186,0.0013933200952252563,5,1000,10,1
1.526315789473684,1.3070849527959987,0.001410528757754457,5,1000,10,1
1.7894736842105263,1.3234113497794902,0.0014403936159113674,5,1000,10,1
2.052631578947368,1.3379786863720864,0.0015776507119253885,5,1000,10,1
2.3157894736842106,1.3513402846671896,0.0016315382977142429,5,1000,10,1
2.5789473684210527,1.3634262065491032,0.001690175124599234,5,1000,10,1
2.8421052631578947,1.374708044850705,0.0017703956560951345,5,1000,10,1
3.1052631578947367,1.3848522870565776,0.0018129979296972203,5,1000,10,1
3.3684210526315788,1.3947220590098666,0.0017434952811168677,5,1000,10,1
3.631578947368421,1.4038284497900544,0.0017504930380393344,5,1000,10,1
3.894736842105263,1.4126277206836841,0.0016978769566344384,5,1000,10,1
4.157894736842105,1.4208717514403726,0.001717645693952211,5,1000,10,1
4.421052631578947,1.4287717822399126,0.0017495108297270903,5,1000,10,1
4.684210526315789,1.4360343271333744,0.0018144219358892585,5,1000,10,1
4.947368421052632,1.4432629934107444,0.0017125796307011425,5,1000,10,1
5.2105263157894735,1.4502680060056288,0.0017526920679964706,5,1000,10,1
5.473684210526316,1.4569816844825385,0.001687153825784123,5,1000,10,1
5.7368421052631575,1.4632090681185925,0.0016626657517048431,5,1000,10,1
6.0,1.46922982262763,0.0017514841943802241,5,1000,10,1
