cbeta_star_mean,cbeta_star_sd,cbeta_norm_mean,cbeta_norm_sd,v,N,i0,T,N_samples,v_conf
0.003975220332211116,0.00014546126260102238,3.896113447600088e-05,1.425665834752611e-06,0.01,1000,1,10,20000,10
0.037314692152579855,0.0013853260960297843,0.00011703131282120751,4.34484441251473e-06,0.03,1000,1,10,20000,10
0.1081122298834076,0.004026757853189396,0.00019514257493955097,7.268297925006868e-06,0.05,1000,1,10,20000,10
0.2171304219862708,0.008095282758267309,0.00026828014567989406,1.0002300082322003e-05,0.06999999999999999,1000,1,10,20000,10
0.3838161828714267,0.014853040478180297,0.0003531535344842544,1.3666447577756801e-05,0.09,1000,1,10,20000,10
0.61637411508124,0.024155108686706558,0.00044384539686895437,1.7393874173400226e-05,0.11,1000,1,10,20000,10
0.8845862000372939,0.03412877978820716,0.0005150333036986371,1.9870825708995398e-05,0.13,1000,1,10,20000,10
1.241146552690994,0.04914947829778685,0.0005978189228794953,2.3673665380100662e-05,0.15000000000000002,1000,1,10,20000,10
1.663871790544119,0.06642926147636544,0.0006742595744152016,2.6919481312393015e-05,0.17,1000,1,10,20000,10
2.193212212646852,0.09028230602462088,0.0007573508066934737,3.117590578039673e-05,0.19,1000,1,10,20000,10
2.9395747684197633,0.12008619539773198,0.0008736136252241788,3.568847359415456e-05,0.21000000000000002,1000,1,10,20000,10
3.638245787059845,0.16187610496537425,0.0009378764900642528,4.172884462346539e-05,0.23,1000,1,10,20000,10
4.36562397465872,0.17670163034842779,0.0009822653942982125,3.9757866828396265e-05,0.25,1000,1,10,20000,10
5.7565388502433485,0.24833746524546693,0.001136170204923956,4.90144574923368e-05,0.27,1000,1,10,20000,10
6.731645552543478,0.2897435552205892,0.0011701456975990229,5.036542282299964e-05,0.29000000000000004,1000,1,10,20000,10
7.944014122170604,0.35072948439918483,0.0012200468140533618,5.386526049111348e-05,0.31,1000,1,10,20000,10
10.27543302266036,0.4890556049720856,0.001397770267840071,6.652638214302096e-05,0.33,1000,1,10,20000,10
11.557821071701337,0.5044002077447894,0.001395194115083946,6.0888310792049543e-05,0.35000000000000003,1000,1,10,20000,10
14.104985097101215,0.6356635043250523,0.0015130455635241817,6.818779590989547e-05,0.37,1000,1,10,20000,10
17.90546153413752,0.8365511420589157,0.0017083646761160438,7.981555896413395e-05,0.39,1000,1,10,20000,10
19.77956112040273,1.0136913998435766,0.001679332981954192,8.606487226476805e-05,0.41000000000000003,1000,1,10,20000,10
23.98210407515157,1.2085740355973609,0.001812043166050406,9.131760561990293e-05,0.43,1000,1,10,20000,10
28.406178846782154,1.339899605539853,0.0019095264669225784,9.007102903906794e-05,0.45,1000,1,10,20000,10
33.55553275130698,1.6236392517573097,0.0020054785425196032,9.703835442949543e-05,0.47000000000000003,1000,1,10,20000,10
39.86695553316609,1.990616977557035,0.002116203088607449,0.00010566519915562955,0.49,1000,1,10,20000,10
46.17706993208343,2.555141210540093,0.0021739440177829857,0.00012029204012758358,0.51,1000,1,10,20000,10
53.1409603483818,2.945840895532253,0.0022148751209353852,0.00012278042524963673,0.53,1000,1,10,20000,10
63.4864043203942,3.6382136783816423,0.002337453977250877,0.00013395241270405136,0.55,1000,1,10,20000,10
73.07382356602342,4.017247056056874,0.0023704122767294264,0.00013031385625700279,0.5700000000000001,1000,1,10,20000,10
87.70648525533544,5.168640144777975,0.0024988915544782862,0.00014726244209104707,0.59,1000,1,10,20000,10
95.77153002419774,5.750704324510872,0.002388008150275489,0.00014339051274723017,0.61,1000,1,10,20000,10
112.01207071086769,6.743502144461452,0.0024340400762409183,0.00014653737199631314,0.63,1000,1,10,20000,10
132.03593627449203,7.841262190207713,0.0024883695682500415,0.00014777763358468383,0.65,1000,1,10,20000,10
145.4498841525216,9.552570836847105,0.0023641033409268052,0.0001552649200197984,0.67,1000,1,10,20000,10
163.6392534907433,10.329429084779914,0.002279091631950786,0.00014386349783294914,0.6900000000000001,1000,1,10,20000,10
187.5561969781423,12.817094705642479,0.0022216163613889795,0.00015181938940063826,0.7100000000000001,1000,1,10,20000,10
194.60172969132026,14.739580782509321,0.0019433515197941442,0.00014719389575957944,0.73,1000,1,10,20000,10
231.86355675816387,17.19458399162366,0.0019321963063180323,0.00014328819993019717,0.75,1000,1,10,20000,10
251.36512563617293,18.195737258253935,0.001726911057942019,0.0001250070780469653,0.77,1000,1,10,20000,10
268.3955491471999,21.239791590897838,0.001498258698403989,0.00011856643153906256,0.79,1000,1,10,20000,10
321.16294378384396,22.708307621651922,0.0014313558358761433,0.00010120616112859679,0.81,1000,1,10,20000,10
322.9249873745951,26.47518866624189,0.0011244014620633482,9.218469306679398e-05,0.8300000000000001,1000,1,10,20000,10
349.645553268577,28.332346193488526,0.0009255323468874096,7.499738698276376e-05,0.85,1000,1,10,20000,10
340.21858081941383,32.46832853894116,0.0006608843696377119,6.307066118483974e-05,0.87,1000,1,10,20000,10
305.2220216526796,33.6978713036841,0.00041496477101094626,4.5813959862312093e-05,0.89,1000,1,10,20000,10
361.3605239783803,37.97350497050143,0.00032165057628844826,3.380059233638038e-05,0.91,1000,1,10,20000,10
340.4589187982824,38.96438566959959,0.00017938158087221306,2.0529622557100824e-05,0.93,1000,1,10,20000,10
357.07681260789934,39.65881936992032,9.39675822652364e-05,1.0436531413136897e-05,0.9500000000000001,1000,1,10,20000,10
251.85563671940696,39.94653286219318,2.3368048767780064e-05,3.7063793377292696e-06,0.97,1000,1,10,20000,10
256.73131364214635,40.285750741075745,2.5932455923449167e-06,4.06926775162382e-07,0.99,1000,1,10,20000,10
