,Unnamed: 0,total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
226,226,77.9503,109.93331264866896,-925.6734,5923.162563294001,70.63321645432335,208.022958311876,-911.46,2609.568097016305,82.28,775.0677871047542,4.0,0.6,10000,1000,10,1
237,6,3.1829,5.492490108320633,-16.4835,274.0162006443626,2.9672554081660696,16.878506323126267,-17.36,140.8709155982389,2.98,52.26272801216874,2.0,0.65,10000,1000,10,1
247,16,3.5398,6.446023267100422,-14.2857,232.36344883123348,3.508940509986016,19.76075720553162,-23.72,204.47381875011632,3.68,88.38121250510422,2.1,0.65,10000,1000,10,1
257,26,3.9409,7.511085619935376,-30.5694,569.7770639240381,4.11526129135661,22.44757214995568,-26.82,212.9441760701903,4.4,76.97553197771565,2.2,0.65,10000,1000,10,1
267,36,4.3936,8.714119521787614,-28.5714,543.8925943763729,4.761429438458254,25.585764605315305,-30.62,227.1553995782529,3.64,66.95669286839059,2.3,0.65,10000,1000,10,1
277,46,4.9275,10.002521869508708,-59.2407,1111.410411987353,5.4278300273838616,28.04376145148665,-42.28,301.72422068924965,6.9,171.6255678316997,2.4,0.65,10000,1000,10,1
287,56,5.5955,11.654641982918225,-52.0479,600.5824257590319,6.3970677286840845,32.31585647261908,-50.58,340.06062359934043,7.56,101.2317696532008,2.5,0.65,10000,1000,10,1
297,66,6.4038,13.627873845908614,-61.2387,754.8893840295557,7.619127628605913,38.21351092040052,-65.0,477.2145988728108,7.94,125.50112132226276,2.6,0.65,10000,1000,10,1
307,76,7.3147,15.725999615604728,-80.2197,931.6653239546356,8.860026061880555,43.20770748346302,-73.9,460.5170980536553,10.8,184.7126738401773,2.7,0.65,10000,1000,10,1
317,86,8.3942,18.085458422721832,-100.7991,1432.3461064547414,10.243574513335965,48.299116249255874,-102.54,590.6102187086202,10.36,139.4798044936476,2.8,0.65,10000,1000,10,1
327,96,9.6519,20.747667974738757,-99.4005,903.7950284467682,11.8090382074826,54.11451048336339,-114.32,588.0659144619549,14.32,185.618918858784,2.9,0.65,10000,1000,10,1
337,106,11.0248,23.604308610082185,-122.7771,1006.413583198098,13.45716308532698,59.1274466697874,-123.1,619.4326110853121,14.16,180.25188896193967,3.0,0.65,10000,1000,10,1
347,116,12.7033,26.94067313765564,-180.6192,1630.8435139669484,15.505195090123424,65.80765097882895,-163.5,802.934754772791,18.32,229.8644412825451,3.1,0.65,10000,1000,10,1
357,126,14.4635,30.24774483742548,-194.5053,2107.306823786434,17.39537740474773,72.5581931178536,-181.58,752.553876698362,24.26,382.69321631011576,3.2,0.65,10000,1000,10,1
367,136,16.7047,34.16967219494504,-218.0817,2013.8342126025905,19.83585810517419,79.53642993404615,-226.08,910.7111359137472,20.2,215.06414219605705,3.3,0.65,10000,1000,10,1
377,146,19.1515,38.30869023798647,-234.2655,1774.462836197325,22.350092023484255,87.22739816009081,-265.92,1107.4444441685066,22.44,258.2384849543366,3.4000000000000004,0.65,10000,1000,10,1
387,156,21.8018,42.49515403854891,-311.2884,2301.743760643092,24.588630162671027,93.60743764481356,-289.88,1016.3547034811857,32.46,371.7689734458239,3.5,0.65,10000,1000,10,1
397,166,25.0218,47.33846136874329,-367.9317,2745.7075671016955,27.608026683104487,100.85478274649223,-378.32,1337.399282669214,29.18,324.49816256143976,3.6,0.65,10000,1000,10,1
407,176,28.3797,52.20683602661629,-376.5231,2220.6447631674023,30.30036769514547,107.4586273988286,-399.0,1285.2440177719257,33.12,311.295287589786,3.7,0.65,10000,1000,10,1
417,186,32.0785,57.19588042639086,-454.545,3018.681139729292,33.22546803215482,115.3229675490953,-446.1,1580.805074785771,34.58,284.70393259125046,3.8,0.65,10000,1000,10,1
427,196,36.2289,62.53541480465288,-542.5569,3734.7291334355705,36.32317139333845,121.78153649825464,-521.26,1729.5176019669625,39.88,349.99119272275743,3.9,0.65,10000,1000,10,1
437,206,40.674,67.94190697941882,-592.0074,4181.238929006973,39.26240855774366,127.64544404773724,-572.38,1758.1803819362626,58.44,724.9422877250666,4.0,0.65,10000,1000,10,1
7,7,2.4867,3.5875650670057544,-11.0889,209.9830704742137,1.6766776954193352,8.606174531858523,-10.96,99.48300400977384,1.8,46.95721987138725,2.0,0.7,10000,1000,10,1
18,18,2.6681,4.059032198689732,-11.7882,207.79460917146065,1.884261607724944,9.592501010789183,-13.12,106.64428207967848,1.54,30.62224962698237,2.1,0.7,10000,1000,10,1
29,29,2.8592,4.59442873053876,-13.7862,239.3752876601807,2.1209951770454225,11.979782161691611,-13.26,107.65375670701565,1.46,31.90564522180521,2.2,0.7,10000,1000,10,1
40,40,3.0863,5.206769853757701,-18.4815,281.0825757658947,2.4006460677968,13.434699800028612,-19.32,141.35323014903963,2.82,52.19501922600661,2.3,0.7,10000,1000,10,1
51,51,3.3672,5.978307800707488,-22.0779,326.2040992124782,2.778170519695763,15.923962475107956,-25.16,232.76681988471623,2.34,53.20533319835592,2.4,0.7,10000,1000,10,1
62,62,3.6846,6.795595841425532,-34.0659,750.2440710687472,3.1789524681031045,17.465108931560817,-26.06,220.98361879555148,4.16,94.7818166067518,2.5,0.7,10000,1000,10,1
73,73,4.0452,7.740048899070341,-36.0639,574.9502451475515,3.627321765520672,19.37768717247785,-32.62,249.8363012409161,3.72,59.8207276112987,2.6,0.7,10000,1000,10,1
84,84,4.4284,8.725633125452847,-35.0649,546.3515380122022,4.0647123481785,21.556150786635943,-35.24,260.59342526880704,3.76,79.16115871375867,2.7,0.7,10000,1000,10,1
95,95,4.8929,9.841505453435463,-36.1638,469.32976531690514,4.579664760208888,23.43816815306349,-50.92,342.033408141995,4.74,88.57943910244165,2.8,0.7,10000,1000,10,1
106,106,5.4361,11.167216161156729,-62.1378,742.214886609633,5.245994093445861,26.386759591308422,-53.86,348.03909769069355,6.2,97.50133666296637,2.9,0.7,10000,1000,10,1
117,117,6.0798,12.716179927950058,-83.6163,1338.3892724685056,6.044632858100136,29.938294532528147,-68.48,414.930965789054,7.22,151.90187299010435,3.0,0.7,10000,1000,10,1
128,128,6.8169,14.411203086141004,-84.5154,868.7960584751534,6.9275051794129165,33.212241877379235,-85.4,471.8570810218822,6.04,83.83448706899931,3.1,0.7,10000,1000,10,1
139,139,7.5611,16.0680324492453,-97.5024,877.3878525137067,7.719489415027327,36.65731764259861,-85.26,500.1277288598557,12.26,273.4175709730662,3.2,0.7,10000,1000,10,1
150,150,8.5148,18.064295750457585,-130.0698,1209.901862540784,8.723054995093207,40.256219387170304,-112.5,572.2206686666997,13.82,191.06192207189423,3.3,0.7,10000,1000,10,1
161,161,9.6098,20.305416616262765,-138.1617,1368.214544746969,9.897425648992815,44.09929999574703,-128.8,645.8577809605786,10.42,158.4737675247842,3.4000000000000004,0.7,10000,1000,10,1
172,172,10.6917,22.51655504534386,-143.7561,1309.0958309467835,10.957014459302574,47.27289434050678,-133.54,644.525103980416,11.38,142.9844049328646,3.5,0.7,10000,1000,10,1
183,183,12.0304,25.17884977198125,-156.2436,1338.0330298232288,12.39033604522882,51.92286039507019,-169.44,787.2382490746246,14.64,193.67349158347463,3.6,0.7,10000,1000,10,1
194,194,13.4245,27.766067416002578,-202.1976,1690.383735745126,13.668114820855138,56.21478148460545,-182.74,755.2344869727755,15.16,196.2193278004495,3.7,0.7,10000,1000,10,1
205,205,15.0565,30.580361471866222,-265.5342,2293.717385462908,15.069391901682753,60.21238921354199,-229.1,979.9291893405422,18.74,316.6683443036712,3.8,0.7,10000,1000,10,1
216,216,16.8891,33.65812236578268,-258.1416,1688.0779593576617,16.65962550521454,64.66138967884363,-251.7,964.6015527748032,19.96,238.0236625346158,3.9,0.7,10000,1000,10,1
227,227,18.948,36.94794846808141,-276.6231,2234.574919879314,18.37187402493897,69.21629442025365,-296.36,1062.865804686498,17.0,187.6020241147339,4.0,0.7,10000,1000,10,1
238,7,2.0144,2.3805866167816703,-7.3926,167.60604656134694,0.9706434213047922,4.940448946210006,-8.86,90.23477506739376,1.06,23.04190732012641,2.0,0.75,10000,1000,10,1
248,17,2.1151,2.6096842701752254,-9.99,173.32868886436066,1.0444564426854084,5.185463295270979,-8.74,75.5789892652835,1.68,35.851166377303,2.1,0.75,10000,1000,10,1
258,27,2.2266,2.899664194350787,-8.5914,208.9090614253833,1.1534033501292085,5.909374933637649,-9.82,80.77264402012725,0.8,19.98499286950084,2.2,0.75,10000,1000,10,1
268,37,2.3498,3.2354350495721587,-13.3866,315.95962113640223,1.2762820382362907,6.66817718937024,-10.88,103.08582962185872,1.36,52.29171867881413,2.3,0.75,10000,1000,10,1
278,47,2.4863,3.575949148128368,-12.8871,224.58320755413024,1.39181233578083,7.123751288418868,-13.34,111.08230429655652,1.06,29.44423706448565,2.4,0.75,10000,1000,10,1
288,57,2.6337,3.952913395206123,-15.4845,262.9224459436815,1.529537425629106,7.771347558178254,-14.74,108.75621909352655,1.32,34.152221559127625,2.5,0.75,10000,1000,10,1
298,67,2.7941,4.415258224611557,-13.3866,205.7665559025392,1.712178138313047,9.666057394859022,-16.24,128.59982967181242,1.46,31.144267474764177,2.6,0.75,10000,1000,10,1
308,77,2.9552,4.816138801986504,-23.7762,445.93180827490113,1.837916602698925,10.189467461153344,-17.72,150.8650974472319,2.36,63.771757727918825,2.7,0.75,10000,1000,10,1
318,87,3.1601,5.384688290885555,-22.0779,470.9453980966253,2.068653823448958,11.671090616349645,-24.3,162.03745126840695,1.62,38.17749798160185,2.8,0.75,10000,1000,10,1
328,97,3.4018,6.01555955502063,-33.4665,512.7158527218688,2.3199921987887517,12.88428541449334,-30.48,235.7382592043245,2.68,64.69340092785633,2.9,0.75,10000,1000,10,1
338,107,3.6741,6.743299577358254,-25.2747,331.136324142228,2.637519784052785,14.56200202884634,-31.98,244.71057992410684,2.58,51.35764169757091,3.0,0.75,10000,1000,10,1
348,117,3.9551,7.461587229939752,-30.969,456.77346161803655,2.914475028882176,15.462498011563444,-36.72,247.68079493093077,3.3,63.761403306821634,3.1,0.75,10000,1000,10,1
358,127,4.2606,8.209183128667554,-43.8561,672.8382934477667,3.1812614095661096,16.567474768232195,-39.56,237.30283956111097,2.92,51.06598058822863,3.2,0.75,10000,1000,10,1
368,137,4.5804,9.003506863439378,-51.5484,684.5770221292581,3.4650350303676256,18.108471706997037,-43.22,298.34364832060584,4.42,85.98373637085112,3.3,0.75,10000,1000,10,1
378,147,5.0149,10.005192551370513,-57.0429,648.4131214104106,3.8929490847965527,19.629038107758934,-60.14,379.1062549671999,4.22,76.59489720489076,3.4000000000000004,0.75,10000,1000,10,1
388,157,5.4617,11.098222069773158,-64.6353,745.557660222455,4.345825114730269,21.32404579589513,-69.5,414.8625809784604,4.3,72.73265431634123,3.5,0.75,10000,1000,10,1
398,167,5.9985,12.343641996995862,-75.1248,772.2759277847676,4.893874929806121,23.75810626421795,-84.02,500.7132023135571,4.52,74.21671248473085,3.6,0.75,10000,1000,10,1
408,177,6.5453,13.596880080003649,-87.4125,891.3651954922423,5.427131364110719,25.568640848994736,-88.44,486.705305709174,5.64,108.11734058851798,3.7,0.75,10000,1000,10,1
418,187,7.1241,14.842819785674148,-107.892,1238.796160443159,5.913944814795368,27.78226823567141,-90.58,426.5694078880653,10.94,296.3597464399155,3.8,0.75,10000,1000,10,1
428,197,7.833,16.30151253718501,-120.2796,1161.1796661350666,6.520911786112545,29.687795112367617,-111.5,539.2817746626047,7.34,109.24888068897172,3.9,0.75,10000,1000,10,1
438,207,8.5868,17.886969160816484,-122.1777,1109.7743997968932,7.187405554418768,31.96956392475201,-124.84,528.0784611079197,7.34,103.45624543483078,4.0,0.75,10000,1000,10,1
8,8,1.6682,1.5684733851742592,-6.993,162.175690060023,0.5353971793642706,2.599739318341252,-5.62,57.52170437884699,0.58,20.486716929685333,2.0,0.8,10000,1000,10,1
19,19,1.7283,1.703138018482354,-6.3936,172.34419610544802,0.5725746996399695,2.797114763517295,-6.0,56.10984611886891,0.56,15.990996566728407,2.1,0.8,10000,1000,10,1
30,30,1.7831,1.8211135027779024,-7.992,158.39274592668764,0.5986123818125185,2.923251149286387,-5.86,56.65669773415862,0.88,25.441901049900007,2.2,0.8,10000,1000,10,1
41,41,1.856,1.9819344086018589,-8.0919,161.19846695600086,0.6479608681313249,3.209880754641619,-9.06,79.615012749013,0.96,23.814598747645345,2.3,0.8,10000,1000,10,1
52,52,1.9334,2.170752044799221,-8.0919,169.64559533684252,0.7057104418244738,3.470529857901006,-9.76,88.59755839037142,0.82,27.91783552774204,2.4,0.8,10000,1000,10,1
63,63,2.0171,2.3823113965222933,-10.1898,188.22472321829312,0.7792697128573435,3.93496342862852,-11.52,104.48148753785914,0.6,15.73736847368859,2.5,0.8,10000,1000,10,1
74,74,2.0904,2.547788813854084,-12.7872,302.09684766097223,0.8158534780049981,4.047231045623523,-9.82,85.1603947224467,1.52,50.89153755644928,2.6,0.8,10000,1000,10,1
85,85,2.1827,2.7755217005096533,-11.3886,158.8145062479479,0.8839993456354652,4.389912113170499,-12.36,107.70510869519563,0.68,16.720214010462175,2.7,0.8,10000,1000,10,1
96,96,2.276,3.0185466701709283,-8.991,150.58503346691006,0.9597231678236594,5.014649439158455,-13.22,117.63764474668028,0.32,9.793221672109334,2.8,0.8,10000,1000,10,1
107,107,2.3705,3.2769848565411466,-20.6793,403.6848107052697,1.0297393773501364,5.315187714004094,-13.34,111.4418517821418,1.4,42.31097992131818,2.9,0.8,10000,1000,10,1
118,118,2.4822,3.5551769519954983,-14.985,237.6290245957616,1.1057742016617726,5.630714673405389,-16.26,120.65267550622606,0.96,26.667386728952188,3.0,0.8,10000,1000,10,1
129,129,2.5989,3.834999190351936,-13.7862,192.1959203956777,1.183836047696878,5.821242838028505,-18.74,138.21259954239784,1.3,26.577822297242605,3.1,0.8,10000,1000,10,1
140,140,2.7253,4.211536526019927,-17.982,240.3457561186559,1.306835394845441,7.300515337737731,-21.04,195.69657154587932,0.74,16.597588619880884,3.2,0.8,10000,1000,10,1
151,151,2.8525,4.529497074731366,-22.7772,425.3655775302168,1.3971646350044955,7.735049492163376,-21.9,170.64378667327156,1.38,32.77503654158192,3.3,0.8,10000,1000,10,1
162,162,2.9827,4.885038455324584,-22.8771,276.82084201419394,1.4941298626677642,8.401754684514389,-22.42,161.145711683679,1.34,27.4641553298622,3.4000000000000004,0.8,10000,1000,10,1
173,173,3.1462,5.305659766701969,-34.1658,611.81541834198,1.6279193587427674,9.22419363215416,-29.64,200.91168943268352,1.2,26.50717380307268,3.5,0.8,10000,1000,10,1
184,184,3.3334,5.780834233914686,-35.6643,453.9090974549697,1.7744908050132269,9.834577495727634,-35.36,241.6185182282912,1.32,28.81563176582124,3.6,0.8,10000,1000,10,1
195,195,3.5354,6.290878065898274,-35.0649,446.6412461117567,1.9494593273100385,10.548102047851632,-38.52,255.0347307160088,2.0,48.45858874835655,3.7,0.8,10000,1000,10,1
206,206,3.7568,6.885771834732836,-33.2667,410.2083902889559,2.1557682448158166,11.469214677618288,-43.18,279.04708263558814,1.8,41.62851538704368,3.8,0.8,10000,1000,10,1
217,217,3.9751,7.407137098096673,-39.7602,451.9152082321452,2.3036989096378737,11.8971153113711,-43.32,264.4132542761495,1.82,42.99851726802594,3.9,0.8,10000,1000,10,1
228,228,4.205,7.960890339654228,-58.0419,864.3510860896702,2.457526048588145,12.540982018692302,-47.1,277.67841207060553,2.88,62.67454355510684,4.0,0.8,10000,1000,10,1
239,8,1.4411,1.0821879642649883,-3.2967,68.41202006635206,0.3160759563635593,1.5200565811119906,-5.2,51.58707321231029,0.18,7.744262221783039,2.0,0.85,10000,1000,10,1
249,18,1.4713,1.134097134287888,-4.995,101.76097436930554,0.3212949174122557,1.50733059603042,-4.28,40.17266464025544,0.48,18.324933296414255,2.1,0.85,10000,1000,10,1
259,28,1.5059,1.202482927113728,-4.995,105.611441390861,0.3341010867596206,1.5475362990077002,-4.96,44.17684415342426,0.28,11.99733277021855,2.2,0.85,10000,1000,10,1
269,38,1.5402,1.2799937343596648,-5.6943,106.04768200482204,0.3484671861470557,1.6301393003857645,-5.44,50.62274850565333,0.24,8.482310708733555,2.3,0.85,10000,1000,10,1
279,48,1.5739,1.3604921131708188,-3.996,75.9803598669324,0.3629085803875265,1.7176790347955155,-5.36,52.34065680172005,0.28,8.94033517041145,2.4,0.85,10000,1000,10,1
289,58,1.606,1.426591742580897,-5.994,105.55944980788964,0.3727260337722436,1.718159492838533,-5.38,48.73697907454802,0.34,9.99471807701167,2.5,0.85,10000,1000,10,1
299,68,1.6412,1.5121053402458442,-7.1928,135.32669123087268,0.3895245413770158,1.8834345464822888,-6.2,62.11236426493085,0.44,15.225950970573097,2.6,0.85,10000,1000,10,1
309,78,1.6852,1.6174983647596062,-8.7912,161.47119959110273,0.4148282250658538,2.1033112612054183,-8.0,65.17994202578159,0.4,11.655624623268196,2.7,0.85,10000,1000,10,1
319,88,1.7311,1.7102025581784166,-6.6933,128.93207042077736,0.4323842706859299,2.107391121950249,-8.82,72.37908173738677,0.24,8.482310708733555,2.8,0.85,10000,1000,10,1
329,98,1.772,1.8031128639106315,-7.992,148.64036979217053,0.4479897721926703,2.3039829839414403,-7.74,63.6906433458242,0.68,19.788298503806928,2.9,0.85,10000,1000,10,1
339,108,1.8173,1.8970821568925265,-11.6883,185.1967816348405,0.4660386254141317,2.359257834524268,-8.9,68.62405501056178,0.44,18.3259374657451,3.0,0.85,10000,1000,10,1
349,118,1.8732,2.0137332891919923,-12.1878,255.20038333577295,0.4903739435092619,2.3780702300920566,-11.22,89.39189387785174,0.54,20.682146288949603,3.1,0.85,10000,1000,10,1
359,128,1.9342,2.174182687816274,-12.3876,206.31346706143324,0.5301095134636807,2.677597381445909,-12.98,107.65072441858804,0.5,18.43323027572324,3.2,0.85,10000,1000,10,1
369,138,1.9919,2.315174807654921,-14.7852,324.6235384335684,0.5630043059406387,2.823465596808843,-12.46,92.2258041976105,1.02,54.21488287686817,3.3,0.85,10000,1000,10,1
379,148,2.0534,2.454780731552209,-15.2847,280.2079736495014,0.5940400445997773,2.93739309461302,-13.34,106.8605929172764,1.08,50.90277702906717,3.4000000000000004,0.85,10000,1000,10,1
389,158,2.1117,2.59819612616138,-14.7852,222.007153440104,0.6221203368325174,3.086690128331646,-13.18,107.29137311021044,0.74,23.738339261100123,3.5,0.85,10000,1000,10,1
399,168,2.1816,2.7697692033813937,-15.8841,199.42796348168392,0.6606240411156361,3.343000286204496,-16.36,115.610064305392,0.6,15.481084147973604,3.6,0.85,10000,1000,10,1
409,178,2.25,2.942329009475317,-16.3836,297.594561279823,0.7020887639175888,3.604121312166472,-17.02,128.79432595359077,0.58,17.541219154806306,3.7,0.85,10000,1000,10,1
419,188,2.3238,3.13294646618802,-17.5824,285.1937491560707,0.7428662626881318,3.8147107998467313,-18.82,148.17558233501236,0.56,19.383600604563632,3.8,0.85,10000,1000,10,1
429,198,2.3919,3.304317537707295,-19.2807,271.2701374207187,0.7747418089869501,3.88208058325945,-18.64,145.18491059964387,0.76,30.97609323067039,3.9,0.85,10000,1000,10,1
439,208,2.4768,3.517877450963862,-22.2777,308.9031276904455,0.8205960800624367,4.139872869184997,-20.94,136.20341969698748,0.38,13.411695916577283,4.0,0.85,10000,1000,10,1
9,9,1.2525,0.6843564495202775,-2.8971,63.90476737708504,0.155922233682965,0.7480957973735103,-3.42,32.74768451484942,0.08,3.999399894978244,2.0,0.9,10000,1000,10,1
20,20,1.2721,0.7240591067033133,-4.1958,77.27223539018539,0.1626541023358347,0.7848803451761625,-3.98,35.725162403030055,0.18,6.631138454271631,2.1,0.9,10000,1000,10,1
31,31,1.2907,0.759995730251164,-3.996,78.56370287569798,0.1679717439308846,0.7921538334820363,-4.22,38.81162498818392,0.16,7.481978214336096,2.2,0.9,10000,1000,10,1
42,42,1.3087,0.7968715768553928,-3.7962,81.074365682607,0.1727470753717771,0.8015841369433763,-4.2,39.37657998741321,0.22,11.48759315434038,2.3,0.9,10000,1000,10,1
53,53,1.3259,0.828667116519052,-4.4955,82.86545750887288,0.1748619285223776,0.7918039241811676,-4.22,41.016580013253154,0.3,10.766689006338762,2.4,0.9,10000,1000,10,1
64,64,1.3402,0.8546718434580608,-3.4965,81.700971185288,0.1752429166966672,0.7797804665438869,-3.36,31.82470237359835,0.2,8.483348202194222,2.5,0.9,10000,1000,10,1
75,75,1.3568,0.895820160523305,-4.5954,83.46008541468036,0.1805616022657513,0.8555253922852514,-4.16,41.1687246145498,0.2,8.483348202194223,2.6,0.9,10000,1000,10,1
86,86,1.3754,0.9366295105323128,-4.8951,98.27315735914732,0.1860931565617615,0.8912487967953479,-4.96,44.71686885098267,0.24,9.7955089300924,2.7,0.9,10000,1000,10,1
97,97,1.3959,0.97373671492863,-6.8931,118.43015596787104,0.1906017136976318,0.8918859976877391,-5.64,47.24842475008174,0.28,9.794447055312103,2.8,0.9,10000,1000,10,1
108,108,1.4179,1.0258945316161892,-7.5924,141.0828334661233,0.1994431737082274,0.960495649750612,-6.38,49.59376527503649,0.22,8.243688242503108,2.9,0.9,10000,1000,10,1
119,119,1.4411,1.079690136103873,-9.5904,134.43753111693653,0.2090980061980417,0.9969245296794854,-6.66,54.84473716337286,0.18,6.631138454271631,3.0,0.9,10000,1000,10,1
130,130,1.4611,1.1151173884394414,-7.7922,139.64974552179618,0.2119426656112865,0.9995353897684652,-6.44,51.834304080482745,0.32,12.958178554069391,3.1,0.9,10000,1000,10,1
141,141,1.4844,1.1591189067563343,-7.3926,113.66905705025036,0.2175152217594395,1.0063448038938303,-6.7,53.28596381218923,0.12,5.655864114340794,3.2,0.9,10000,1000,10,1
152,152,1.5069,1.200313454894179,-5.8941,143.61734881092167,0.221673257267218,1.0146214531288105,-7.44,53.37538096472299,0.46,21.443749285942136,3.3,0.9,10000,1000,10,1
163,163,1.5297,1.2571069604452916,-8.2917,111.3889624747718,0.2293474977496632,1.050829971940005,-7.5,63.5307296932873,0.32,9.37584079638002,3.4000000000000004,0.9,10000,1000,10,1
174,174,1.5515,1.3089491013786594,-7.992,124.52507452484636,0.2358215281923337,1.0950227241922466,-7.94,62.90748870534828,0.2,6.321708345031427,3.5,0.9,10000,1000,10,1
185,185,1.5752,1.368263483397843,-7.8921,116.66914599221448,0.2439526778170987,1.1766970739744602,-8.2,60.96828448604501,0.2,9.796407349620369,3.6,0.9,10000,1000,10,1
196,196,1.5978,1.4106151707677046,-8.5914,172.82709500109252,0.2474690994345617,1.1705370747879325,-8.76,65.02065186167277,0.1,5.999466589617447,3.7,0.9,10000,1000,10,1
207,207,1.6192,1.4571174832524658,-9.2907,138.48111746913204,0.2522872114623024,1.1924633957262276,-8.34,64.92199847962677,0.18,7.209216134901766,3.8,0.9,10000,1000,10,1
218,218,1.6464,1.5200549463752946,-10.3896,145.0923243665874,0.2616276287825789,1.2528176328186795,-9.4,68.87753197844086,0.16,6.322847288981759,3.9,0.9,10000,1000,10,1
229,229,1.6718,1.5801533976168265,-7.6923,122.5240581893757,0.2697032357718923,1.349266055313617,-10.54,73.3037907926627,0.22,8.715457298363177,4.0,0.9,10000,1000,10,1
240,9,1.1133,0.3917436789534708,-2.7972,56.44552667756933,0.0624847358638698,0.3195448712563925,-2.56,26.71175306443172,0.16,6.322847288981759,2.0,0.95,10000,1000,10,1
250,19,1.1197,0.4059210637550113,-3.3966,66.18236561949034,0.0632595398987714,0.3286424665307293,-2.96,28.97106025386753,0.02,2.0,2.1,0.95,10000,1000,10,1
260,29,1.1256,0.4178811314237579,-3.6963,66.91628834054178,0.0633721015130278,0.3225206981996344,-2.76,26.23835446678225,0.06,3.463755153006054,2.2,0.95,10000,1000,10,1
270,39,1.1337,0.4368344194314363,-2.0979,45.73412376549549,0.0655125878492781,0.3315542179777153,-3.12,27.970409978822943,0.0,0.0,2.3,0.95,10000,1000,10,1
280,49,1.141,0.450465314979966,-3.3966,66.18236561949035,0.0661275831895436,0.3301351428471384,-3.5,28.56276567768457,0.12,5.655864114340795,2.4,0.95,10000,1000,10,1
290,59,1.1485,0.4686659257936297,-3.2967,62.30348177665636,0.0680136928176171,0.3387382322791429,-3.58,30.31955684954441,0.04,2.8282856857099854,2.5,0.95,10000,1000,10,1
300,69,1.1546,0.4805193440435046,-3.4965,62.29258723469783,0.068092116289378,0.3312878669805481,-3.66,30.572828946418728,0.08,4.8985711794318165,2.6,0.95,10000,1000,10,1
310,79,1.1625,0.4960783708246108,-4.4955,76.60667880853346,0.0689716121375472,0.3327439858505112,-3.9,32.69398858642012,0.06,3.4637551530060544,2.7,0.95,10000,1000,10,1
320,89,1.1694,0.5135208272309897,-4.0959,68.3688213498176,0.070633184148257,0.3455481274264925,-3.94,32.07147109076527,0.04,2.8282856857099854,2.8,0.95,10000,1000,10,1
330,99,1.1765,0.5277762309918854,-4.3956,93.61604508325324,0.0713322315576257,0.344731290150113,-4.02,32.923365484097765,0.06,3.463755153006053,2.9,0.95,10000,1000,10,1
340,109,1.1841,0.5433297249368931,-4.5954,78.53091881138877,0.0723833400691766,0.3467732180554061,-4.14,34.219548473785785,0.08,3.999399894978244,3.0,0.95,10000,1000,10,1
350,119,1.1906,0.5573792604681305,-3.8961,72.62749603358229,0.0728574366251141,0.3517549726444055,-4.34,35.34528722379962,0.08,4.898571179431816,3.1,0.95,10000,1000,10,1
360,129,1.1962,0.5643629683102888,-4.7952,83.44884317893683,0.0717133149046353,0.3393035393727996,-4.08,34.28514470021545,0.12,4.897754465046201,3.2,0.95,10000,1000,10,1
370,139,1.2022,0.5736855933348859,-4.995,89.2180136541721,0.0711885213011472,0.3305341957898282,-3.84,31.896020686185317,0.04,2.8282856857099863,3.3,0.95,10000,1000,10,1
380,149,1.2096,0.5914962721776023,-4.7952,90.34063537522856,0.0726741046695361,0.3451094847559079,-4.16,33.92358296153422,0.04,2.828285685709986,3.4000000000000004,0.95,10000,1000,10,1
390,159,1.2172,0.6094457810174749,-3.7962,70.54141673306165,0.074144050065781,0.3491785754636914,-4.68,37.65951969877463,0.04,2.8282856857099863,3.5,0.95,10000,1000,10,1
400,169,1.2233,0.6216406598670972,-6.4935,107.86848343571847,0.0742480636692656,0.3570924172212134,-4.76,37.22204921944532,0.1,5.290822174287094,3.6,0.95,10000,1000,10,1
410,179,1.2321,0.6397105517341417,-6.0939,96.15195371187347,0.0756423589705499,0.3608819586625421,-5.26,39.503018224496266,0.0,0.0,3.7,0.95,10000,1000,10,1
420,189,1.24,0.6562011886609167,-4.5954,75.94646065043803,0.0766939865989574,0.3599918635860584,-5.66,42.00167632465886,0.08,3.999399894978244,3.8,0.95,10000,1000,10,1
430,199,1.2487,0.6729400493357487,-5.4945,90.85177034140511,0.077738889639345,0.3643675314445573,-6.06,42.70197590129276,0.16,6.926701806761423,3.9,0.95,10000,1000,10,1
440,209,1.2573,0.6917345661451363,-7.5924,111.88574486604816,0.0793578549286678,0.3725056394628919,-6.7,46.46854777796762,0.08,4.898571179431815,4.0,0.95,10000,1000,10,1
10,10,1.0218,0.155963970198248,-1.6983,41.15685685030599,0.0116319195839977,0.0996726698438796,-1.96,19.904723555025328,0.0,0.0,2.0,0.99,10000,1000,10,1
21,21,1.0227,0.1593257982876596,-2.1978,46.80802254162663,0.011530278109342,0.0967938188519665,-2.0,20.10075630518424,0.0,0.0,2.1,0.99,10000,1000,10,1
32,32,1.0236,0.1619970370099404,-2.7972,52.79069196246425,0.0113546512524184,0.0928625960658483,-2.1,20.58233133627781,0.0,0.0,2.2,0.99,10000,1000,10,1
43,43,1.0249,0.1657708961187095,-3.0969,55.53846201027039,0.011350312432108,0.0895629342253795,-2.28,21.42072558874873,0.0,0.0,2.3,0.99,10000,1000,10,1
