beta,v,N,size,dv,db
3.6,0.1,1000,820.1954593882631,-1225.387176861737,78.51472216313891
3.7,0.1,1000,827.6544147151405,-1210.709748117663,70.80658340290708
3.8,0.1,1000,834.383577725563,-1196.905116011199,63.9029017590832
3.9,0.1,1000,840.4587979227177,-1183.9356492477195,57.713663179546145
4.0,0.1,1000,845.9474723004255,-1171.7620620078633,52.15959587666293
2.0,0.15,1000,406.0774308438337,-1533.7219632125807,448.79311894342993
2.1,0.15,1000,448.86202275793676,-1534.168177570808,407.22901341774997
2.2,0.15,1000,487.60466924909144,-1526.3493296399622,368.08739133858097
2.3,0.15,1000,522.5787168569727,-1512.9086984387213,331.91029426780017
2.4,0.15,1000,554.091481272341,-1495.7377914741016,298.8690172836022
2.5,0.15,1000,582.4558610980727,-1476.1960098878615,268.92429892264374
2.6,0.15,1000,607.9744991320058,-1455.2624221244075,241.92252295143865
2.7,0.15,1000,630.9314770569551,-1433.6419371074812,217.65339610533462
2.8,0.15,1000,651.5885118616288,-1411.8404109326311,195.884227653967
2.9,0.15,1000,670.1838073503945,-1390.2183131187505,176.37991682777366
3.0,0.15,1000,686.9324313164936,-1369.0294200399326,158.9141919058164
3.1,0.15,1000,702.0275274893175,-1348.4489387196352,143.27550658786637
3.2,0.15,1000,715.6419416474522,-1328.59409528545,129.26969979537034
3.3,0.15,1000,727.9300087954421,-1309.5393025915155,116.72072679010539
3.4000000000000004,0.15,1000,739.0293524037221,-1291.3273958476932,105.4702747255347
3.5,0.15,1000,749.0626113792563,-1273.9779946207218,95.3767668709593
3.6,0.15,1000,758.1390504195311,-1257.4937502443645,86.31406591338299
3.7,0.15,1000,766.3560338742121,-1241.8650274766203,78.17006472457169
3.8,0.15,1000,773.8003579394496,-1227.0734202705223,70.8452761290775
3.9,0.15,1000,780.5494445619612,-1213.0943950373796,64.25148492815677
4.0,0.15,1000,786.6724051297093,-1199.8992780501758,58.310495303235
2.0,0.2,1000,329.71200945262746,-1517.4894465270863,442.1397738845209
2.1,0.2,1000,372.1409943517301,-1532.0411571204086,406.42472921171276
2.2,0.2,1000,411.0198273444754,-1535.0373976859526,371.36822309285753
2.3,0.2,1000,446.47180434399417,-1529.868361990326,338.00995010794213
2.4,0.2,1000,478.69618978959676,-1518.9885844493172,306.8727824041089
2.5,0.2,1000,507.9276564376336,-1504.1861951961462,278.1685198877135
2.6,0.2,1000,534.4120168585721,-1486.7697338507728,251.92452700847934
2.7,0.2,1000,558.3920072837676,-1467.6994172396264,228.06204685479025
2.8,0.2,1000,580.0992922169902,-1447.6804408304674,206.4446644454943
2.9,0.2,1000,599.7503126647604,-1427.2299873412799,186.90816455457372
3.0,0.2,1000,617.5444916196291,-1406.7258069467794,169.27871797926483
3.1,0.2,1000,633.6638625432633,-1386.441738290833,153.38371873851705
3.2,0.2,1000,648.2735322775957,-1366.573881198658,139.0579914629159
3.3,0.2,1000,661.522608044286,-1347.2600150677206,126.14709212420921
