v,beta,N,i0,N_samples,T,v_mean,v_sd,beta_se,beta_mean,beta_sd
0.1,2,1000,1,10000,10,-34.5654,389474.51515043253,29.857599938781597,446.6239485614459,2985.7599938781595
0.6,2,1000,1,10000,10,60.6393,11976.28880466519,0.3689203179099654,5.254465067543277,36.89203179099654
0.1,4,1000,1,10000,10,-1997.5005,567278.6338840702,25.004837217394346,14.757605265596235,2500.4837217394347
0.6,4,1000,1,10000,10,-196.1037,154465.16256783748,3.8850173974915845,76.73733671760058,388.50173974915845
0.3,3,1000,1,10000,10,-1677.2211,417269.4979824591,22.7038766001607,233.6958535724326,2270.38766001607
