c_beta,beta_star,beta_star_sd,v,N,T,t
1,1.26584525373762,0.00128937484545838,0.3,1000,10,1
1.26315789473684,1.28795928002019,0.00139332009522526,0.3,1000,10,1
1.52631578947368,1.307084952796,0.00141052875775446,0.3,1000,10,1
1.78947368421053,1.32341134977949,0.00144039361591137,0.3,1000,10,1
2.05263157894737,1.33797868637209,0.00157765071192539,0.3,1000,10,1
2.31578947368421,1.35134028466719,0.00163153829771424,0.3,1000,10,1
2.57894736842105,1.3634262065491,0.00169017512459923,0.3,1000,10,1
2.84210526315789,1.37470804485071,0.00177039565609513,0.3,1000,10,1
3.10526315789474,1.38485228705658,0.00181299792969722,0.3,1000,10,1
3.36842105263158,1.39472205900987,0.00174349528111687,0.3,1000,10,1
3.63157894736842,1.40382844979005,0.00175049303803933,0.3,1000,10,1
3.89473684210526,1.41262772068368,0.00169787695663444,0.3,1000,10,1
4.15789473684211,1.42087175144037,0.00171764569395221,0.3,1000,10,1
4.42105263157895,1.42877178223991,0.00174951082972709,0.3,1000,10,1
4.68421052631579,1.43603432713337,0.00181442193588926,0.3,1000,10,1
4.94736842105263,1.44326299341074,0.00171257963070114,0.3,1000,10,1
5.21052631578947,1.45026800600563,0.00175269206799647,0.3,1000,10,1
5.47368421052632,1.45698168448254,0.00168715382578412,0.3,1000,10,1
5.73684210526316,1.46320906811859,0.00166266575170484,0.3,1000,10,1
6,1.46922982262763,0.00175148419438022,0.3,1000,10,1
