total_size_mean,total_size_sd,v_mean,v_sd,beta_mean,beta_sd,fd_v_mean,fd_v_sd,fd_beta_mean,fd_beta_sd,beta,v,N_samples,N,T,i0
1.0216,0.15534941261556157,-1.8981,43.50618801078213,0.010485672336005268,0.09044840492824845,-2.12,20.677242437894947,0.01,0.44712413488784053,2.2,0.99,10000,1000,10,1
481.3383,443.16502823791274,-1434.3642,16474.21796946152,487.61168575012766,2060.2023817618083,-1377.6,6549.5645595407295,391.51,1434.2763453266168,2.3,0.01,10000,1000,10,1
423.9077,410.0388171633388,-1684.8135,20202.93968033094,480.7310669929175,1841.8650967396431,-1512.26,7783.1975118681685,420.87,1381.945389805994,2.3,0.05,10000,1000,10,1
351.8651,365.15559519469235,-1260.5382,6223.917702259342,449.03865704222443,1571.5658914241542,-1269.8,3950.1058585345995,403.736,1102.3429404227297,2.3,0.1,10000,1000,10,1
282.9986,315.9804468603081,-1281.717,9928.99407003727,397.54129866258654,1317.2572061393482,-1243.38,3856.864233515561,383.874,952.4919717349968,2.3,0.15,10000,1000,10,1
218.2637,265.03040610901616,-1275.0237,8651.285653293606,330.15830088252045,1067.2797634615633,-1246.5,4018.4823715000925,358.856,853.8984983758625,2.3,0.2,10000,1000,10,1
160.9345,214.02967413363504,-1038.3606,7435.955559770131,261.0402600136997,840.3465982805329,-1088.68,3513.78919815246,300.876,660.578404889912,2.3,0.25,10000,1000,10,1
112.8266,165.6297314265769,-859.3398,7911.608731225751,193.7967440293987,644.7304504318429,-846.16,2764.661568756468,234.288,518.3548612989207,2.3,0.3,10000,1000,10,1
75.821,122.63204458460275,-610.0893,3352.426040222368,135.80719394562402,466.3234476044636,-613.92,2139.5868799377326,170.508,366.9778320401941,2.3,0.35,10000,1000,10,1
48.074,86.46416092231509,-456.8427,3085.7508782150494,87.56994100865404,319.74786832396944,-462.74,1735.6292614764623,119.57,315.67562498555543,2.3,0.4,10000,1000,10,1
29.4999,58.302300126067074,-272.3274,2222.0023712100324,53.88635834995082,212.27472811724758,-286.12,1186.134915262054,69.038,196.00111275097385,2.3,0.45,10000,1000,10,1
17.6475,37.60346850690771,-165.1347,1418.712814265398,31.18014518862857,133.13336598126946,-173.52,823.4164262759798,40.85,143.97593690280576,2.3,0.5,10000,1000,10,1
10.8009,23.670472306018738,-81.5184,803.1898373690526,17.477396802724556,80.27944675466945,-108.6,645.5259176601952,19.29,77.21069905916485,2.3,0.55,10000,1000,10,1
6.6765,14.387204306257695,-61.4385,1120.681919910512,9.184001086620633,45.71296547512353,-64.36,443.4562613669746,10.444,52.62166633599509,2.3,0.6,10000,1000,10,1
4.3664,8.63505362114214,-34.6653,623.5031541975063,4.702299745539566,24.916377846431413,-31.56,234.07999859999669,4.626,31.586387795843304,2.3,0.65,10000,1000,10,1
3.0693,5.157082267135167,-19.6803,287.32355346255105,2.3692856646247384,13.231082584413235,-18.82,143.95791047385623,2.618,18.717401264892814,2.3,0.7,10000,1000,10,1
2.3395,3.211890370171435,-11.1888,192.36462348726425,1.2645831457889496,6.617820690788193,-11.66,127.5212553539868,1.332,11.355997176258311,2.3,0.75,10000,1000,10,1
1.8458,1.96077085861658,-9.4905,191.67639733122957,0.6370387134921002,3.197903400135287,-8.38,71.09346684543391,0.744,7.1113656320087495,2.3,0.8,10000,1000,10,1
1.5354,1.267101748084975,-3.8961,80.45168831171426,0.34345730276551256,1.5720006873196712,-5.54,51.04477404098964,0.296,3.198969731137523,2.3,0.85,10000,1000,10,1
