c_v,v_star,v_star_sd,beta,N,T
1.0,0.8537237538166631,0.001164792301895056,5,1000,10
1.183673469387755,0.8487913527212314,0.0009754078830041845,5,1000,10
1.3673469387755102,0.8438909086614057,0.0015396332801160114,5,1000,10
1.5510204081632653,0.8401874813637532,0.0014816796552359747,5,1000,10
1.7346938775510203,0.8381827877818628,0.0011634214657052471,5,1000,10
1.9183673469387754,0.8339374794123238,0.0012828339430796974,5,1000,10
2.1020408163265305,0.8315015362770168,0.0011587172634950841,5,1000,10
2.2857142857142856,0.8301875910032921,0.0011404137866530355,5,1000,10
2.4693877551020407,0.827648789429376,0.0028042513340631216,5,1000,10
2.6530612244897958,0.8269111407553069,0.002144394970550667,5,1000,10
2.836734693877551,0.822718595655302,0.0015452510177225637,5,1000,10
3.0204081632653064,0.8201093475493602,0.0018414366120279378,5,1000,10
3.2040816326530615,0.8180764104122051,0.0009901493369878305,5,1000,10
3.3877551020408165,0.8172657130422836,0.0013054944212537699,5,1000,10
3.5714285714285716,0.8161218767558799,0.0012483551847452439,5,1000,10
3.7551020408163267,0.8141844085181024,0.001956338028466039,5,1000,10
3.938775510204082,0.8133006077015805,0.001936208910746066,5,1000,10
4.122448979591837,0.8130750532242436,0.0016240730858529968,5,1000,10
4.3061224489795915,0.810613949934145,0.001651946262947005,5,1000,10
4.4897959183673475,0.809180180908055,0.0013838245598614774,5,1000,10
4.673469387755102,0.8085753162357902,0.001319706925840931,5,1000,10
4.857142857142858,0.8068124998703541,0.001721132497829609,5,1000,10
5.040816326530613,0.8055841023756226,0.0015933078969327132,5,1000,10
5.224489795918368,0.8051245647595264,0.0015614899428160784,5,1000,10
5.408163265306123,0.8035660153672687,0.0015745130571485132,5,1000,10
5.591836734693878,0.8012893252696296,0.001328797680176298,5,1000,10
5.775510204081633,0.8003877141414838,0.0018352521166075534,5,1000,10
5.959183673469388,0.7996383307243711,0.0015487548100959522,5,1000,10
6.142857142857143,0.7997136991983462,0.0022380559034581304,5,1000,10
6.326530612244898,0.7980681601686073,0.0017197591837615545,5,1000,10
6.510204081632653,0.7969107299135217,0.0021832557406770326,5,1000,10
6.6938775510204085,0.797775926646584,0.0021798097584263825,5,1000,10
6.877551020408164,0.796806705774165,0.0028867550126105675,5,1000,10
7.061224489795919,0.7938890417311143,0.0014163769847673785,5,1000,10
7.244897959183674,0.793799306358399,0.0016317234518246854,5,1000,10
7.428571428571429,0.7932501076759644,0.001433637389973972,5,1000,10
7.612244897959184,0.7918230696007319,0.001056080629791504,5,1000,10
7.795918367346939,0.7921238325043344,0.001716132085867963,5,1000,10
7.979591836734694,0.7915381560222328,0.0018898357423966599,5,1000,10
8.16326530612245,0.7899969198814689,0.0020440425256074003,5,1000,10
8.346938775510203,0.7887775515945361,0.0014466070540912236,5,1000,10
8.53061224489796,0.7895223589137295,0.0012943328310754763,5,1000,10
8.714285714285715,0.7890465270982174,0.0016845282073911683,5,1000,10
8.89795918367347,0.788807263061697,0.0014401147066437979,5,1000,10
9.081632653061225,0.7856548064476703,0.0015830959258935082,5,1000,10
9.26530612244898,0.7858017959346645,0.0026433337940556605,5,1000,10
9.448979591836736,0.784468423505934,0.0018019816513626242,5,1000,10
9.63265306122449,0.7828006352325696,0.001341295419273939,5,1000,10
9.816326530612246,0.7841539808332876,0.0020283204956557904,5,1000,10
10.0,0.7832315899392155,0.0019332869221573932,5,1000,10
