cv_star_mean,cv_star_sd,cv_norm_mean,cv_norm_sd,beta,N,i0,T,N_samples,beta_conf
43.5564,4.7061407924136525,0.08711279999999999,0.009412281584827306,2.0,1000,1,10,10000,10
42.41737462620149,5.8401425530585485,0.09176003490566038,0.012633777767840944,2.163265306122449,1000,1,10,10000,10
42.652833864265936,7.468482547293339,0.09923312368421053,0.017375653273294708,2.326530612244898,1000,1,10,10000,10
29.329818462778825,2.2535320421550797,0.07302526229508198,0.005610834880467751,2.489795918367347,1000,1,10,10000,10
28.896731147928996,3.2666715851676593,0.07666479692307693,0.00866667971575093,2.6530612244897958,1000,1,10,10000,10
26.63850496219282,3.34778717200539,0.07502272826086957,0.009428461831362119,2.816326530612245,1000,1,10,10000,10
25.532093877838243,3.349773344990016,0.07607521849315069,0.00998095731364372,2.979591836734694,1000,1,10,10000,10
18.326283471074383,2.0081418653330054,0.05759689090909092,0.006311303005332301,3.142857142857143,1000,1,10,10000,10
15.82980288065844,1.1971748275672893,0.052335266666666665,0.003958006572773487,3.3061224489795915,1000,1,10,10000,10
17.42096643944637,1.6085094412354741,0.06044008764705882,0.005580542959388379,3.4693877551020407,1000,1,10,10000,10
15.56469998737533,1.2952256208210506,0.056541155056179765,0.004705105316451979,3.63265306122449,1000,1,10,10000,10
15.148973335067637,1.2913023474068634,0.05750426612903226,0.00490167829831993,3.7959183673469385,1000,1,10,10000,10
13.36449703209693,0.9958382063475232,0.05291249845360825,0.003942706367988154,3.9591836734693877,1000,1,10,10000,10
12.661950411724343,0.9274102083752002,0.05219824455445546,0.0038232012671793963,4.122448979591836,1000,1,10,10000,10
11.4219,0.8372062676810682,0.048951,0.003588026861490292,4.285714285714286,1000,1,10,10000,10
10.916946462839832,0.9253817687848415,0.048569272018348625,0.004117004603981539,4.448979591836734,1000,1,10,10000,10
10.655535145665288,0.8750913059091139,0.04914593761061948,0.004036135410927749,4.612244897959183,1000,1,10,10000,10
9.058920907297832,0.5913569339399689,0.04326096923076924,0.002824031072284749,4.775510204081632,1000,1,10,10000,10
10.65698141861895,1.1721338784393593,0.052632438842975214,0.005788906093516836,4.938775510204081,1000,1,10,10000,10
8.485283822400001,0.5044846313015454,0.0432922644,0.002573901180109925,5.1020408163265305,1000,1,10,10000,10
7.988843793942672,0.5507009913234208,0.04206370813953488,0.00289960930125393,5.26530612244898,1000,1,10,10000,10
8.688463504155123,0.6609106677983801,0.047165944736842096,0.0035878007680483497,5.428571428571429,1000,1,10,10000,10
7.68691618360062,0.500157313176888,0.04298398029197081,0.0027967980369483125,5.591836734693877,1000,1,10,10000,10
7.76368621548212,0.5249261159664383,0.04468080638297872,0.0030210033612762368,5.755102040816326,1000,1,10,10000,10
7.304176027348396,0.49368274911407545,0.04322879689655173,0.0029217958621037122,5.918367346938775,1000,1,10,10000,10
6.67958124296203,0.4862606343690936,0.04062275939597315,0.002957258551877344,6.081632653061225,1000,1,10,10000,10
6.378435121107268,0.47460837166773195,0.039832676470588246,0.0029638808516393054,6.244897959183673,1000,1,10,10000,10
6.26677656700069,0.45482704657586787,0.04015852738853503,0.0029146059719351524,6.408163265306122,1000,1,10,10000,10
5.279120132325142,0.3805198565659691,0.03469136086956522,0.0025005590574335114,6.571428571428571,1000,1,10,10000,10
5.255332611570248,0.32717553263269317,0.03539305636363637,0.002203427056505893,6.73469387755102,1000,1,10,10000,10
5.047295259269634,0.3495394384108134,0.03481603668639053,0.0024111087792419383,6.897959183673469,1000,1,10,10000,10
4.698381715894284,0.26970900539867265,0.03317632803468208,0.0019044758340396068,7.061224489795918,1000,1,10,10000,10
4.729594089342143,0.27754589578564626,0.03416890423728814,0.002005127492002424,7.224489795918367,1000,1,10,10000,10
4.427681527578524,0.24319646735407782,0.03271062679558011,0.0017966759424933912,7.387755102040816,1000,1,10,10000,10
4.406483918918919,0.24300550526517312,0.03327345,0.0018349395295533476,7.551020408163265,1000,1,10,10000,10
4.50060462962963,0.2882445822810794,0.034718950000000005,0.002223601063311184,7.7142857142857135,1000,1,10,10000,10
4.1968560182823715,0.2816275155788672,0.03306094740932643,0.002218535122723321,7.877551020408163,1000,1,10,10000,10
4.128589069545725,0.22853432425873316,0.03319722639593909,0.0018376025256722623,8.040816326530612,1000,1,10,10000,10
4.262751124972154,0.28072535409287225,0.034971958208955226,0.00230309372133336,8.204081632653061,1000,1,10,10000,10
3.7127629970255818,0.24776948353316808,0.03106597609756098,0.0020731732295632428,8.367346938775508,1000,1,10,10000,10
3.523959864128568,0.2057280428258369,0.03006153516746411,0.0017549861612489762,8.53061224489796,1000,1,10,10000,10
3.9387164253124394,0.2966452144640115,0.03424271830985916,0.0025789971706463044,8.693877551020407,1000,1,10,10000,10
3.354238657648282,0.21027920168552428,0.02970897096774193,0.0018624729292146436,8.857142857142858,1000,1,10,10000,10
3.5273514705882363,0.26636511007266767,0.03181815,0.0024027220133085534,9.020408163265305,1000,1,10,10000,10
3.406602826666667,0.2537621876097064,0.031285128,0.002330469069885059,9.183673469387754,1000,1,10,10000,10
3.131978156881067,0.239538717051286,0.02927440807860262,0.0022389537226426325,9.346938775510203,1000,1,10,10000,10
2.8287553827663063,0.21580041266962688,0.026902040987124464,0.0020523059653886964,9.510204081632653,1000,1,10,10000,10
2.9593354109918284,0.23636381384870336,0.028627040506329113,0.0022864581176384774,9.673469387755102,1000,1,10,10000,10
2.6998228271723974,0.19496594947957596,0.026557440871369294,0.0019178283193705232,9.83673469387755,1000,1,10,10000,10
2.388609,0.16033837305180312,0.023886090000000002,0.0016033837305180312,10.0,1000,1,10,10000,10
