cv_star_mean,cv_star_sd,cv_norm_mean,cv_norm_sd,beta,N,i0,T,N_samples,beta_conf
22.602375,3.25852451302904,0.04520475,0.006517049026058078,2.0,1000,1,10,10000,10
22.244038430046277,2.5501800787163185,0.04811975660377358,0.005516716088651627,2.163265306122449,1000,1,10,10000,10
18.880938573407207,2.3081556155554264,0.043927081578947376,0.005369994697414664,2.326530612244898,1000,1,10,10000,10
13.24676416285945,1.34706145232353,0.032981739344262295,0.003353908105785117,2.489795918367347,1000,1,10,10000,10
14.349015319526629,1.5391251609279422,0.03806881615384616,0.00408339328409454,2.6530612244897958,1000,1,10,10000,10
12.456492391304351,1.4088685177716271,0.03508155,0.003967833784744582,2.816326530612245,1000,1,10,10000,10
14.16699259241884,1.486202260439157,0.04221185547945206,0.0044282761229411625,2.979591836734694,1000,1,10,10000,10
13.17833739669422,1.1883055164364094,0.04141763181818182,0.003734674480228715,3.142857142857143,1000,1,10,10000,10
11.552465843621402,1.1073532515353273,0.038193866666666666,0.0036610454438514893,3.3061224489795915,1000,1,10,10000,10
11.088333093425605,1.0239573369785842,0.038469727058823525,0.003552505046660393,3.4693877551020407,1000,1,10,10000,10
11.105746537684634,1.0271649653920236,0.04034332415730337,0.0037313339559138818,3.63265306122449,1000,1,10,10000,10
9.248846878251822,0.8350797967960972,0.03510786774193548,0.003169894738858654,3.7959183673469385,1000,1,10,10000,10
7.2908844085450095,0.6074931583267787,0.02886595051546392,0.002405176994191736,3.9591836734693877,1000,1,10,10000,10
7.553670510244094,0.7307000639525334,0.031139621287128716,0.0030122737330288115,4.122448979591836,1000,1,10,10000,10
7.891989,0.8109525830099913,0.03382281,0.0034755110700428198,4.285714285714286,1000,1,10,10000,10
6.8893351464523205,0.627353074129399,0.030650511467889913,0.0027910810236777346,4.448979591836734,1000,1,10,10000,10
7.011332733573501,0.6627060947224805,0.03233798362831859,0.0030565628042302155,4.612244897959183,1000,1,10,10000,10
6.947508974358977,0.5956916489607452,0.0331779,0.0028447315480982526,4.775510204081632,1000,1,10,10000,10
6.733311857113587,0.571604270199036,0.033254315702479345,0.0028230251711870765,4.938775510204081,1000,1,10,10000,10
5.9945786208000005,0.489244821929652,0.0305845848,0.00249614705066149,5.1020408163265305,1000,1,10,10000,10
6.046585424553813,0.4590126955522553,0.03183712325581395,0.002416842356173099,5.26530612244898,1000,1,10,10000,10
5.752759487534624,0.4906795261377255,0.031229265789473677,0.002663688856176224,5.428571428571429,1000,1,10,10000,10
5.028763953860089,0.39570011682400924,0.028120027007299275,0.002212690449179154,5.591836734693877,1000,1,10,10000,10
4.512227885921232,0.36254167337102394,0.025968331914893616,0.002086464324298546,5.755102040816326,1000,1,10,10000,10
4.380794368608799,0.37153488432427273,0.025927150344827583,0.0021988799276334513,5.918367346938775,1000,1,10,10000,10
4.313502323093554,0.3584478745906511,0.02623313657718121,0.0021799482985308985,6.081632653061225,1000,1,10,10000,10
3.8859783448673597,0.37258140200059237,0.024267538235294123,0.0023267328369832915,6.244897959183673,1000,1,10,10000,10
4.128385028804414,0.3721825537373611,0.0264553652866242,0.0023850065688475787,6.408163265306122,1000,1,10,10000,10
3.8587083175803403,0.3008228933282703,0.025357226086956525,0.0019768361561572044,6.571428571428571,1000,1,10,10000,10
3.737761710743802,0.31359407623356156,0.025172680909090913,0.0021119601052464352,6.73469387755102,1000,1,10,10000,10
3.760276958965022,0.2881355603908754,0.02593823698224852,0.0019875473349411405,6.897959183673469,1000,1,10,10000,10
3.5503336462962354,0.2613854726501733,0.025069702890173413,0.0018457015007542852,7.061224489795918,1000,1,10,10000,10
3.355313006320024,0.2451865718746295,0.02424042457627119,0.001771347886604466,7.224489795918367,1000,1,10,10000,10
3.3367769428588874,0.24647286590117776,0.0246512908839779,0.001820881172576048,7.387755102040816,1000,1,10,10000,10
3.060885648648649,0.2269974884935357,0.02311281,0.0017140626682164944,7.551020408163265,1000,1,10,10000,10
2.873940740740742,0.19681882970739042,0.022170400000000007,0.0015183166863141544,7.7142857142857135,1000,1,10,10000,10
2.9073732140460153,0.1881876337352483,0.022902980829015544,0.0014824576861593032,7.877551020408163,1000,1,10,10000,10
2.8863040351464866,0.18845872494785454,0.02320824060913706,0.0015153619924378502,8.040816326530612,1000,1,10,10000,10
2.8720137280017823,0.23413963695765236,0.023562235074626868,0.001920900695040332,8.204081632653061,1000,1,10,10000,10
2.852349435455088,0.22225507037724163,0.023866597317073177,0.001859685282748348,8.367346938775508,1000,1,10,10000,10
2.4820099081980724,0.15835657278588489,0.021173064114832534,0.0013508785188673445,8.53061224489796,1000,1,10,10000,10
2.594530316405476,0.19686875572348758,0.02255652887323944,0.0017115528558817486,8.693877551020407,1000,1,10,10000,10
2.5456048126951085,0.17867838809161807,0.022546785483870967,0.0015825800088114747,8.857142857142858,1000,1,10,10000,10
2.5304112011424835,0.19188686487256873,0.02282534185520362,0.0017308978423199056,9.020408163265305,1000,1,10,10000,10
2.3903075466666674,0.16250734783598605,0.021951804000000002,0.0014924144189019126,9.183673469387754,1000,1,10,10000,10
2.2663675454320096,0.15358777711455981,0.021183598689956333,0.0014355755493564975,9.346938775510203,1000,1,10,10000,10
2.282002585238262,0.16049578252652316,0.02170231030042918,0.001526347646068567,9.510204081632653,1000,1,10,10000,10
2.3219893646851464,0.16650973136759348,0.022461693037974687,0.0016107267891477407,9.673469387755102,1000,1,10,10000,10
2.2021881798694927,0.15636675444516165,0.021662340871369295,0.0015381382784197537,9.83673469387755,1000,1,10,10000,10
2.016981,0.14088858725590866,0.02016981,0.0014088858725590872,10.0,1000,1,10,10000,10
