cbeta_star_mean,cbeta_star_sd,cbeta_norm_mean,cbeta_norm_sd,v,N,i0,T,N_samples,v_conf
0.0037990126887817036,0.00018673667615984072,3.7234123362749225e-05,1.8302061630425868e-06,0.01,1000,1,10,10000,10
0.0348368684972799,0.001711130141689276,0.00010926003189696842,5.366674501051446e-06,0.03,1000,1,10,10000,10
0.09830641391334785,0.004815263114793435,0.00017744307711359307,8.691549922202162e-06,0.05,1000,1,10,10000,10
0.19667832403260183,0.009634746964362282,0.00024301011779399642,1.1904418070681352e-05,0.06999999999999999,1000,1,10,10000,10
0.3316418411290092,0.016268750224042637,0.00030514734293214766,1.4969057845033032e-05,0.09,1000,1,10,10000,10
0.5049872409627375,0.024868876710344223,0.00036363672142416734,1.790785203842149e-05,0.11,1000,1,10,10000,10
0.71835779130651,0.03536293432611138,0.000418250009415306,2.0589388454949016e-05,0.13,1000,1,10,10000,10
0.9786003908275165,0.04819806773902991,0.00047135918824858694,2.321540262763274e-05,0.15000000000000002,1000,1,10,10000,10
1.28850783297443,0.0634880024449113,0.0005221488506682848,2.5727579343705512e-05,0.17,1000,1,10,10000,10
1.641749466879842,0.08083064684493353,0.0005669220132736129,2.79120986289268e-05,0.19,1000,1,10,10000,10
2.0515444073845006,0.10081802240842047,0.0006096994593565086,2.99621560881406e-05,0.21000000000000002,1000,1,10,10000,10
2.5158273478048883,0.12333615507984338,0.0006485365367450079,3.179391580297354e-05,0.23,1000,1,10,10000,10
3.0353669535088454,0.14931573099185774,0.0006829575645394903,3.3596039473168e-05,0.25,1000,1,10,10000,10
3.608032303353928,0.17709399539758824,0.0007121186720212254,3.495310746199067e-05,0.27,1000,1,10,10000,10
4.259947247231282,0.20799452813037886,0.0007404963473549269,3.6155186769146185e-05,0.29000000000000004,1000,1,10,10000,10
4.989596480248327,0.24424500077375005,0.0007663054465310411,3.751130479625236e-05,0.31,1000,1,10,10000,10
5.775003012451067,0.2809465773404884,0.0007855754097846312,3.82172480509531e-05,0.33,1000,1,10,10000,10
6.640174737764605,0.31995768516689205,0.0008015639504872981,3.862346342371765e-05,0.35000000000000003,1000,1,10,10000,10
7.658410804078897,0.36826994181577966,0.0008215197967943013,3.95044161909954e-05,0.37,1000,1,10,10000,10
8.740907129087404,0.4192066242602713,0.0008339721904444673,3.99966115095505e-05,0.39,1000,1,10,10000,10
9.894596130452463,0.4737548634572358,0.0008400753446367079,4.0222943407186276e-05,0.41000000000000003,1000,1,10,10000,10
11.187716768832653,0.5353575641682065,0.000845323064696216,4.045062153447681e-05,0.43,1000,1,10,10000,10
12.615147078035607,0.6037209366366841,0.000848018220245727,4.058346296279933e-05,0.45,1000,1,10,10000,10
14.191908815524789,0.6777363362629155,0.0008481930183576413,4.0505561033245325e-05,0.47000000000000003,1000,1,10,10000,10
15.953200821892862,0.761455263215296,0.0008468219456682313,4.041928856373439e-05,0.49,1000,1,10,10000,10
17.85946235852801,0.8490079891413154,0.0008407954729965832,3.9969964351535255e-05,0.51,1000,1,10,10000,10
19.945994885123266,0.9483048884645789,0.0008313340132308923,3.952463204940104e-05,0.53,1000,1,10,10000,10
22.22970451998092,1.0509701120766044,0.0008184573027811156,3.869480867191134e-05,0.55,1000,1,10,10000,10
24.75688182884856,1.164948644839126,0.0008030785000270347,3.7789299022939365e-05,0.5700000000000001,1000,1,10,10000,10
27.465173399592356,1.285413215767442,0.0007825246861816062,3.6623383317035094e-05,0.59,1000,1,10,10000,10
30.568207217418717,1.4238051402707401,0.0007622007078310472,3.5501764235275355e-05,0.61,1000,1,10,10000,10
33.827869932212955,1.575975667826607,0.0007350849831301513,3.424620141674008e-05,0.63,1000,1,10,10000,10
37.596527876148315,1.7398968891236297,0.0007085499484351029,3.2790364448868405e-05,0.65,1000,1,10,10000,10
41.66933965687727,1.9099428979956425,0.0006772822520349154,3.1043698745033636e-05,0.67,1000,1,10,10000,10
46.264147357829174,2.1160428446093396,0.0006443455885633886,2.9471263386515573e-05,0.6900000000000001,1000,1,10,10000,10
51.24557025393612,2.328172483935708,0.0006070073885008485,2.757736702802716e-05,0.7100000000000001,1000,1,10,10000,10
57.1098947322141,2.579524056543987,0.0005703166199970426,2.5759904619459824e-05,0.73,1000,1,10,10000,10
63.15107430853245,2.8178489585786877,0.0005262589525711037,2.3482074654822397e-05,0.75,1000,1,10,10000,10
70.47991632740397,3.1217339427865194,0.0004842061784051517,2.1446717606935945e-05,0.77,1000,1,10,10000,10
78.23520814466164,3.41700358106383,0.0004367307188834907,1.9074665560115806e-05,0.79,1000,1,10,10000,10
87.50035230488672,3.7760479213528946,0.00038997070595140845,1.682905308158511e-05,0.81,1000,1,10,10000,10
98.14811560562875,4.143993063346989,0.0003417446434942974,1.442908428081059e-05,0.8300000000000001,1000,1,10,10000,10
110.15837965732882,4.573043536182912,0.00029159571085763514,1.210511524283712e-05,0.85,1000,1,10,10000,10
125.1458398896337,5.090388447284172,0.00024309939013043792,9.888225834379601e-06,0.87,1000,1,10,10000,10
140.82593422047802,5.5711890722828965,0.00019145997798514423,7.574313233103714e-06,0.89,1000,1,10,10000,10
160.38248069451387,6.161622213992213,0.00014275803226654525,5.484520871795264e-06,0.91,1000,1,10,10000,10
187.1674054328069,6.863478450215813,9.861508458287662e-05,3.6162413339846704e-06,0.93,1000,1,10,10000,10
218.95040178097477,7.693559960320341,5.761852678446686e-05,2.0246210421895575e-06,0.9500000000000001,1000,1,10,10000,10
259.8668538387443,8.344349528916943,2.4111357572667032e-05,7.742179975283775e-07,0.97,1000,1,10,10000,10
329.64274646303033,8.367467334465271,3.329724711747786e-06,8.451987206530589e-08,0.99,1000,1,10,10000,10
